22.5,10146
30m,9029
12.4,7671
13.1c,7520
25.3,6937
28,6933
11.1a,6683
8.4,6596
31.7,6375
24.3,5796
23.2,5018
17.1,4493
9.4ab,4268
30,3674
22.4,3665
13.1cy,3232
31.9b,3224
12.4y,3186
11.3a,3144
31.10,3072
10.6a,2966
27.8a,2914
2.1,2869
21.4,2702
16.5,2463
3.1,2367
31.3b,2288
23.3,2191
13.6,2070
31.3a,2007
31.6,1983
31.8a,1885
9.3b,1884
19.4c,1834
21.3,1808
31.16,1714
34.3,1636
31.1c,1606
32.6,1518
3.5a,1503
31.9a,1488
22.2,1469
6.2a,1330
14.2,1327
12.3,1324
31.1d,1301
29,1295
7.8a,1291
7.10a,1290
21.5,1263
8.1,1244
32.4,1236
31.11,1235
9.4a,1222
35,1220
27.13,1201
21.1,1153
31.2,1130
6.1a,1105
10.11a,1096
31.1b,1093
27.2,1093
27.10,1070
16.3,1046
14.1,1023
12.1a,1004
5.1a,983
5.2,977
21.2,958
17.2,957
31.1a,956
12.1b,956
27.3d,954
6.6,929
32.3,924
6.3a,897
20,891
15.1,882
33.2,866
31.12,852
14.3,848
13.5,845
7.7a,844
10.12b,814
13.1a,814
10.9c,812
10.11e,789
7.12b,786
14.4,768
6.4,767
11.2b,759
22.3,756
1,747
6.7,741
5.5,739
34.1,738
7.15a,730
8.2a,726
10.11f,718
9.3c,714
2.2,710
7.1a,687
5.3,683
27.9c,682
27.9a,680
27.20,680
31.5,677
32.5,675
7.14,673
27.4,672
10.5,668
4.3,668
25.2a,664
31.4,662
19.4d,633
7.3,626
27.3c,618
16.2,615
31.14,613
19.3,595
5.7,594
10.13b,593
10.7a,584
19.5,575
6.5,574
15.4,572
32.2,568
23.1a,568
19.4a,562
19.1b,560
9.5c,558
13.4,553
31.8b,551
24.2a,546
4.5,544
27.7,532
27.21,530
13.2,529
15.3,522
24.2b,518
9.3d,506
31.15,501
2.3,497
10.7b,493
10.11g,486
27.8b,477
19.1c,476
7.11a,471
10.11m,470
13.3,466
19.2,455
27.17,453
4.2,448
32.8,445
7.9b,444
10.9a,440
25.2b,437
33.3,432
10.11h,428
3.6a,422
23.1b,419
10.2ac,415
27.9e,414
10.4,414
27.11,411
11.2a,411
19.4b,394
10.9b,389
27.3b,374
10.11i,367
27.9f,366
7.2c,363
3.4b,357
9.2b,352
10.13a,349
10.11c,349
32.1a,348
11.3b,347
9.2a,346
10.11b,343
17.3,340
11.2c,337
10.6b,331
10.12a,326
10.2c,321
6.8,320
7.2b,318
9.3e,315
12.2a,315
4.1,304
7.5c,301
27.5,297
27.14,294
7.13,294
27.16,290
10.14,286
8.3,277
6.1b,276
27.9d,274
4.4,274
33.1,264
19.1a,260
3.4c,258
3.4a,250
31.13,248
10.2ea,247
3.3c,243
00,241
27.15,241
6.3b,240
5.1b,238
27.12,238
16.4c,236
10.2b,236
3.6,236
18,234
23.4,232
27.6,228
7.12c,227
36,226
27.9b,223
10.3b,222
3.6c,221
7.6a,221
5.4,215
8.2b,215
3.6b,213
7.6c,203
32.10,200
10.3c,196
10.1c,196
27.3a,195
7.12d,195
10.2eb,191
16.1,190
27.19,190
17.4,188
7.4,186
9.5b,185
32.7,183
3.2,180
3.5bb,180
13.1b,179
10.11d,174
27.1a,173
32.9,169
7.10b,168
3.3b,168
10.12,167
19.1d,166
7.7b,163
10.8b,163
10.2aa,159
7.12a,158
7.2a,157
7.12,155
16.4b,155
10.2a,154
10.2da,154
9.5a,146
3.5,141
13.7,135
10.2dc,134
26,131
7.12e,129
3.2b,125
10.8a,124
10.10,123
22.1,121
7.5a,120
11.1b,115
9.4b,115
7.5e,114
9.1c,113
7.5d,112
16.4,111
13.1cp,109
3.2a,107
3.5ca,105
3.5cb,105
10.3d,104
7.9a,103
27.3e,98
10.1b,98
15.2,96
7.6b,95
11.1c,95
3.3a,94
7.5b,94
7.15b,89
9.3a,86
5.6,84
10.15,84
16.4d,82
25.1,78
6.2b,77
7.2,75
10.2ab,72
3.3,68
4.6,67
3.5ba,63
27.1b,60
10.2e,57
4.7,56
9.1,56
24.1,56
27.18,54
32.1b,52
12.4p,51
7.5f,49
12.2p,42
25.2,42
27.9,41
12.2b,40
7.11c,40
24.2,39
34.2,37
10.1,35
10.2db,34
9.1a,33
31.1e,31
31.3ab,29
9.1b,27
7.11b,25
10.3a,22
16.4a,22
14.4p,19
11.3c,18
7.8b,16
10.2d,15
19,13
11.3d,10
10.1a,10
00m,4
15.4p,3
10.11p,2
7.1b,2
9.2,1
28p,1
21.5p,1
7.14p,1
9.5p,1
15.3p,1
