1972-01,15
1972-02,18
1972-03,23
1972-04,31
1972-05,23
1972-06,31
1972-07,19
1972-08,25
1972-09,22
1972-10,21
1972-11,30
1972-12,16
1973-01,31
1973-02,17
1973-03,36
1973-04,21
1973-05,40
1973-06,35
1973-07,38
1973-08,38
1973-09,41
1973-10,28
1973-11,31
1973-12,40
1974-01,70
1974-02,47
1974-03,72
1974-04,58
1974-05,59
1974-06,43
1974-07,58
1974-08,55
1974-09,44
1974-10,49
1974-11,54
1974-12,52
1975-01,3
1975-02,2
1975-03,5
1975-04,10
1975-05,5
1975-06,8
1975-07,1
1975-08,6
1975-09,6
1975-10,15
1975-11,58
1975-12,37
1976-01,52
1976-02,50
1976-03,39
1976-04,37
1976-05,53
1976-06,39
1976-07,41
1976-08,48
1976-09,40
1976-10,41
1976-11,57
1976-12,36
1977-01,52
1977-02,36
1977-03,55
1977-04,47
1977-05,47
1977-06,45
1977-07,60
1977-08,55
1977-09,44
1977-10,78
1977-11,48
1977-12,41
1978-01,45
1978-02,38
1978-03,44
1978-04,34
1978-05,43
1978-06,50
1978-07,63
1978-08,38
1978-09,47
1978-10,54
1978-11,54
1978-12,64
1979-01,70
1979-02,41
1979-03,58
1979-04,47
1979-05,41
1979-06,52
1979-07,74
1979-08,58
1979-09,55
1979-10,65
1979-11,64
1979-12,62
1980-01,104
1980-02,78
1980-03,86
1980-04,66
1980-05,94
1980-06,76
1980-07,88
1980-08,64
1980-09,93
1980-10,66
1980-11,50
1980-12,42
1981-01,43
1981-02,79
1981-03,70
1981-04,64
1981-05,61
1981-06,51
1981-07,69
1981-08,48
1981-09,54
1981-10,47
1981-11,59
1981-12,66
1982-01,67
1982-02,74
1982-03,78
1982-04,60
1982-05,34
1982-06,65
1982-07,67
1982-08,80
1982-09,57
1982-10,69
1982-11,54
1982-12,60
1983-01,66
1983-02,45
1983-03,48
1983-04,44
1983-05,60
1983-06,56
1983-07,50
1983-08,46
1983-09,55
1983-10,64
1983-11,94
1983-12,67
1984-01,75
1984-02,87
1984-03,58
1984-04,35
1984-05,23
1984-06,3
1984-08,50
1984-09,207
1984-10,106
1984-11,50
1984-12,41
1985-01,75
1985-02,78
1985-03,73
1985-04,46
1985-05,71
1985-06,42
1985-07,58
1985-08,51
1985-09,71
1985-10,55
1985-11,68
1985-12,54
1986-01,46
1986-02,94
1986-03,103
1986-04,124
1986-05,74
1986-06,122
1986-07,100
1986-08,92
1986-09,153
1986-10,357
1986-11,196
1986-12,338
1987-01,133
1987-02,169
1987-03,188
1987-04,127
1987-05,120
1987-06,141
1987-07,91
1987-08,141
1987-09,162
1987-10,174
1987-11,212
1987-12,159
1988-01,203
1988-02,169
1988-03,169
1988-04,110
1988-05,141
1988-06,160
1988-07,129765
1988-08,962
1988-09,894
1988-10,860
1988-11,662
1988-12,663
1989-01,993
1989-02,934
1989-03,1792
1989-04,289476
1989-05,1112
1989-06,1800
1989-07,5953
1989-08,1909
1989-09,6931
1989-10,2553
1989-11,3781
1989-12,1896
1990-01,2629
1990-02,2786
1990-03,5089
1990-04,2932
1990-05,3676
1990-06,12135
1990-07,5546
1990-08,3803
1990-09,3676
1990-10,7451
1990-11,4479
1990-12,3978
1991-01,6961
1991-02,4584
1991-03,4392
1991-04,3968
1991-05,2895
1991-06,4413
1991-07,4237
1991-08,4759
1991-09,4618
1991-10,3557
1991-11,4121
1991-12,3812
1992-01,3896
1992-02,4428
1992-03,3714
1992-04,14607
1992-05,3224
1992-06,9160
1992-07,5598
1992-08,4686
1992-09,4414
1992-10,4209
1992-11,4250
1992-12,13473
1993-01,3777
1993-02,6744
1993-03,5266
1993-04,7646
1993-05,5286
1993-06,4860
1993-07,5317
1993-08,6174
1993-09,5246
1993-10,4630
1993-11,5730
1993-12,3888
1994-01,5493
1994-02,4604
1994-03,6814
1994-04,5638
1994-05,5746
1994-06,4953
1994-07,6125
1994-08,7724
1994-09,6337
1994-10,9913
1994-11,13834
1994-12,6971
1995-01,20470
1995-02,11332
1995-03,7388
1995-04,6421
1995-05,5384
1995-06,21842
1995-07,10599
1995-08,13144
1995-09,10699
1995-10,8176
1995-11,10325
1995-12,9749
1996-01,15586
1996-02,17520
1996-03,20306
1996-04,19301
1996-05,15052
1996-06,20807
1996-07,23984
1996-08,21217
1996-09,12589
1996-10,11911
1996-11,13351
1996-12,10284
1997-01,11718
1997-02,10469
1997-03,9585
1997-04,8685
1997-05,11600
1997-06,11721
1997-07,36821
1997-08,9930
1997-09,12125
1997-10,11956
1997-11,17408
1997-12,8858
1998-01,10518
1998-02,10256
1998-03,12395
1998-04,165553
1998-05,11988
1998-06,9664
1998-07,12093
1998-08,15385
1998-09,18233
1998-10,9217
1998-11,15680
1998-12,10207
1999-01,24825
1999-02,12655
1999-03,13536
1999-04,10657
1999-05,11603
1999-06,15937
1999-07,12740
1999-08,13129
1999-09,14825
1999-10,17309
1999-11,12055
1999-12,8733
2000-01,36960
2000-02,12301
2000-03,12701
2000-04,8706
2000-05,10795
2000-06,9442
2000-07,10675
2000-08,12705
2000-09,9491
2000-10,9602
2000-11,11457
2000-12,8215
2001-01,10565
2001-02,11061
2001-03,40862
2001-04,9430
2001-05,47006
2001-06,24554
2001-07,10438
2001-08,11608
2001-09,9477
2001-10,42270
2001-11,12028
2001-12,16390
2002-01,20029
2002-02,11105
2002-03,20655
2002-04,17074
2002-05,9373
2002-06,19826
2002-07,21585
2002-08,18846
2002-09,13522
2002-10,10646
2002-11,9891
2002-12,7108
2003-01,10737
2003-02,55198
2003-03,26093
2003-04,15730
2003-05,12879
2003-06,18034
2003-07,13671
2003-08,9616
2003-09,17474
2003-10,14243
2003-11,13847
2003-12,9569
2004-01,13689
2004-02,12842
2004-03,15010
2004-04,11332
2004-05,10568
2004-06,12862
2004-07,13448
2004-08,12338
2004-09,11028
2004-10,13141
2004-11,12769
2004-12,10935
2005-01,12628
2005-02,10851
2005-03,12375
2005-04,12847
2005-05,10247
2005-06,13145
2005-07,13683
2005-08,13225
2005-09,13489
2005-10,13567
2005-11,14786
2005-12,10724
2006-01,13331
2006-02,14405
2006-03,36874
2006-04,11930
2006-05,13715
2006-06,13099
2006-07,15969
2006-08,15259
2006-09,11988
2006-10,13195
2006-11,14385
2006-12,11137
2007-01,15670
2007-02,14997
2007-03,14971
